Team,Week,Game,Referee,Leaderboard Points,Win_Loss,Possession_pct,Territory_pct,Attacking_Minutes,Ball_In_Play_Time,Gainline_Over_pct,Gainline_On_pct,Gainline_Lost_pct,Hitup_Efficiency_pct,Tries_Scored,Points_Scored,Ball_Carries,Ball_Carry_Meters,Line_Breaks,Line_Breaks_1st_Phase,Tackle_Breaks,Offloads,Opp_Gainline_Over_pct,Opp_Gainline_On_pct,Opp_Gainline_Lost_pct,Made_Tackle_pct,Tackles_Made,Tackles_Missed,Tackles_Attempted,Assist_Tackles,Dominant_Tackles,Line_Breaks_Conceded,Tackle_Breaks_Conceded,Offloads_Conceded,Carry_Meters_Conceded,Breakdown_Retention_pct,Breakdown_Steals,Ruck_Speed_0-3pct,Ruck_Speed_3-6pct,Ruck_Speed_6+pct,Kicks_In_Play,Carrying_22m_Exit_pct,Kicking_22m_Exit_pct,22m_Exit_Failed_pct,Kicking_Meters,Goal_Kicking_pct,Own_Scrum_Won_pct,Own_Scrum_Completion_pct,Total_Scrums,Own_Lineout_Won_pct,Lineout_Steals,Opp_Lineout_Clean_pct,Total_LO,Full_LO,Full_LO_Won,Full_LO_Lost,Full_LO_clean_pct,Full_LO_scrappy_pct,Full_LO_Lost_pct,6_Man_LO,6_Man_LO_Won,6_Man_LO_Lost,6_Man_LO_Clean_pct,6_Man_LO_Scrappy_pct,6_Man_LO_Lost_pct,5_Man_LO,5_Man_LO_Won,5_Man_LO_Lost,5_Man_LO_Clean_pct,5_Man_LO_Scrappy_pct,5_Man_LO_Lost_pct,4_Man_LO,4_Man_LO_Won,4_Man_LO_Lost,4_Man_LO_Clean_pct,4_Man_LO_Scrappy_pct,4_Man_LO_Lost_pct,3_Man_LO,3_Man_LO_Won,3_Man_LO_Lost,3_Man_LO_Clean_pct,3_Man_LO_Scrappy_pct,3_Man_LO_Lost_pct,2_Man_LO,2_an_LO_Won,2_Man_LO_Lost,2_Man_LO_Clean_pct,2_Man_LO_Scrappy_pct,2_Man_LO_Lost_pct,Quick_LO,Quick_LO_Won,Quick_LO_Lost,Quick_LO_Clean_pct,Quick_LO_Scrappy_pct,Quick_LO_Lost_pct,Own_Start_Half_Retention_pct,Own_Start_22_Retention_pct,Restarts,Long_Restarts,Short_Restart,Penalties,Tackle_Penalty,Ruck_Penalty,Scrum_Penalty,Lineout_Penalty,Offside_Penalty,Maul_Penalty,Foul_Play_Penalty,Other_Penalty,Free_Kicks,Scrum_Free_Kick,Lineout_Free_Kick
NOLA Gold,2,6,Luke Rogan,,1,0.4526,0.4395,17.1,0:28:06,0.594,0.188,0.219,0.979,5,40,47,522,3,3,6,3,0.6,0.15,0.25,0.882,179,24,203,35,11,14,7,13,945,0.98,2,0.63,0.33,0.03,20,0.53,0.33,0.13,686,8-Jun,0.82,0.73,16,0.9,0,0.79,10,1,0,1,0,0,0.1,3,3,0,0.3,0,0,3,3,0,0.2,0.1,0,3,3,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,6,4,2,10,4,0,2,0,0,1,2,0,0,0,0
Glendale Raptors,2,6,Luke Rogan,,0,0.5474,0.5605,20.7,0:28:06,0.6,0.15,0.25,0.926,5,31,120,945,14,14,7,13,0.594,0.188,0.219,0.802,65,16,81,14,0,3,6,3,522,0.96,1,0.66,0.25,0.08,11,0.63,0.38,0,359,5-Mar,1,1,16,0.86,0,0.7,14,4,3,1,0.21,0,0.07,3,3,0,0.14,0.07,0,7,6,1,0.43,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,3,9,4,2,1,0,0,1,1,0,1,0,1
San Diego Legion,2,7,Scott Green,,1,0.6372,0.6058,24,0:33:29,0.476,0.207,0.317,0.788,2,15,106,589,3,3,4,7,0.5,0.179,0.321,0.883,91,12,103,33,7,1,4,3,333,0.97,2,0.44,0.35,0.21,28,0.29,0.57,0.14,822,3-Feb,0.83,0.5,22,0.87,1,0.88,15,0,0,0,0,0,0,13,11,2,0.6,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.13,0,0,0,N/A,4,1,3,9,1,1,2,0,3,1,1,0,1,1,0
Seattle Seawolves,2,7,Scott Green,,0,0.3628,0.3942,13.7,0:33:29,0.5,0.179,0.321,0.875,1,13,55,333,1,1,4,3,0.476,0.207,0.317,0.887,180,23,203,46,27,3,4,7,589,0.96,2,0.68,0.16,0.16,29,0.41,0.59,0,831,3-Mar,1,0.9,22,0.88,0,0.73,8,2,1,1,0.13,0,0.13,2,2,0,0.25,0,0,2,2,0,0.25,0,0,2,2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,15,7,0,3,0,1,2,1,0,2,1,1
San Diego Legion,3,9,Pali De Luca,,1,0.426,0.5233,17.5,0:33:28,0.481,0.148,0.37,0.833,2,17,89,609,5,1,8,8,0.439,0.146,0.415,0.876,162,23,185,35,39,3,9,5,529,0.93,2,0.6,0.27,0.13,17,0.22,0.44,0.33,479,3-Mar,0.71,0.67,12,0.54,2,0.81,13,0,0,0,0,0,0,8,4,4,0.23,0.08,0.31,4,3,1,0.23,0,0.08,0,0,0,0,0,0,1,0,1,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.25,N/A,4,1,3,8,2,0,2,0,3,0,1,0,1,1,0
Houston SaberCats,3,9,Pali De Luca,,0,0.574,0.4767,23.6,0:33:28,0.439,0.146,0.415,0.757,1,13,100,529,3,0,9,5,0.481,0.148,0.37,0.872,136,20,156,34,18,5,8,8,609,0.95,2,0.36,0.46,0.19,31,0.39,0.56,0.06,714,3-Mar,1,0.67,12,0.88,2,0.46,16,12,11,1,0.63,0.06,0.06,1,1,0,0.06,0,0,2,1,1,0.06,0,0.06,1,1,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,3,1,9,4,1,1,0,1,1,1,0,0,0,0
NOLA Gold,3,10,Derek Summers,,1,0.4926,0.5595,17.9,0:31:02,0.462,0.319,0.22,0.934,5,39,112,681,4,0,10,2,0.607,0.098,0.295,0.867,156,24,180,49,17,4,8,16,704,0.98,0,0.56,0.39,0.05,20,0.36,0.57,0.07,661,6-Jun,1,1,13,0.89,1,0.78,9,3,2,1,0.22,0,0.11,2,2,0,0.22,0,0,2,2,0,0.22,0,0,1,1,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.11,0,0,0,0,7,4,3,10,4,1,0,0,1,0,4,0,1,0,1
Seattle Seawolves,3,10,Derek Summers,,0,0.5074,0.4405,18.4,0:31:02,0.607,0.098,0.295,0.887,4,31,102,704,4,1,8,16,0.462,0.319,0.22,0.844,179,33,212,33,7,4,10,2,681,0.99,2,0.7,0.27,0.03,15,0.68,0.27,0.05,430,6-May,0.83,0.83,13,0.83,1,0.89,18,7,5,2,0.28,0,0.11,3,3,0,0.11,0.06,0,5,5,0,0.28,0,0,3,2,1,0.11,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,7,6,1,9,2,1,1,0,1,2,2,0,0,0,0
NOLA Gold,4,11,Paul-Henri Courbier,,0,0.4551,0.4415,15.1,0:31:13,0.5,0.25,0.25,0.94,4,24,79,437,2,1,3,6,0.46,0.23,0.31,0.905,152,16,168,23,19,4,4,4,618,0.97,1,0.59,0.36,0.05,15,0.43,0.5,0.07,531,5-Feb,0.86,0.29,10,0.88,0,0.73,16,2,1,1,0.06,0,0.06,5,5,0,0.31,0,0,6,5,1,0.25,0.06,0.06,2,2,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.06,0,0,0,N/A,6,3,3,17,6,2,1,0,2,2,4,0,0,0,0
Rugby United New York,4,11,Paul-Henri Courbier,,1,0.5449,0.5585,18.1,0:31:13,0.46,0.23,0.31,0.867,3,27,102,618,4,1,4,4,0.5,0.25,0.25,0.92,127,11,138,24,6,2,3,6,437,0.97,2,0.66,0.28,0.06,18,0.36,0.57,0.07,431,5-May,1,1,10,0.87,1,0.75,15,9,8,1,0.47,0.07,0.07,0,0,0,0,0,0,5,4,1,0.2,0.07,0.07,1,1,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,5,2,3,10,3,1,3,0,0,3,0,0,1,1,0
